N,Наименование,Обозначение,Материал,dv,D,D1,D10,D11,h,b,h4,d,n,Масса
1,Фланец ответный,3.2393200000001,Сталь 10 ГОСТ 1050-2013,15,75,50,18,30,,12,4,11,4,0.2569
2,Фланец ответный,03.23932.001-01,Сталь 40Х ГОСТ 4543-2016,19,80,55,22,34,2,12,4,11,4,0.2569
3,Фланец ответный,03.23932.001-02,Сталь 40Х ГОСТ 4543-2016,26,90,65,32,44,2,14,4,11,4,0.2569
4,Фланец ответный,03.23932.001-03,Сталь 40Х ГОСТ 4543-2016,33,100,75,40,52,2,14,4,11,4,0.2569
5,Фланец ответный,03.23932.001-04,Сталь 40Х ГОСТ 4543-2016,39,120,90,48,60,2,15,4,14,4,0.2569
6,Фланец ответный,03.23932.001-05,Сталь 40Х ГОСТ 4543-2016,46,130,100,54,70,3,16,4,14,4,0.2569
7,Фланец ответный,03.23932.001-06,Сталь 40Х ГОСТ 4543-2016,59,140,110,65,81,3,16,4,14,4,0.2569
8,Фланец ответный,03.23932.001-07,Сталь 40Х ГОСТ 4543-2016,78,160,130,85,101,3,16,4,14,4,0.2569
9,Фланец ответный,03.23932.001-08,Сталь 40Х ГОСТ 4543-2016,91,185,150,100,116,3,16,4,14,4,0.2569
10,Фланец ответный,03.23932.001-09,Сталь 40Х ГОСТ 4543-2016,110,205,170,116,138,3,18,6,18,4,0.2569
11,Фланец ответный,03.23932.001-10,Сталь 40Х ГОСТ 4543-2016,135,235,200,145,167,3,18,6,18,4,0.2569
12,Фланец ответный,03.23932.001-11,Сталь 40Х ГОСТ 4543-2016,161,260,225,170,192,3,20,6,18,8,0.2569
13,Фланец ответный,03.23932.001-12,Сталь 40Х ГОСТ 4543-2016,222,315,280,228,250,3,22,6,18,8,0.2569
14,Фланец ответный,03.23932.001-13,Сталь 40Х ГОСТ 4543-2016,273,370,335,282,304,3,23,6,18,12,0.2569
15,Фланец ответный,03.23932.001-14,Сталь 40Х ГОСТ 4543-2016,325,435,395,335,357,3,24,6,22,12,0.2569
